opponent,TotaldefZscore
A&M-Corpus Christi,-1.710443435
Abilene Christian,-1.827365064
Air Force,1.139636707
Akron,1.12666323
Alabama,-0.942681995
Alabama A&M,-46.90699041
Alabama St.,-29.10400573
Alcorn,-34.31023175
American,-0.541075682
App State,5.050846527
Arizona,-7.222863081
Arizona St.,4.185544794
Ark.-Monticello,-2.393311696
Ark.-Pine Bluff,-46.34379236
Arkansas,17.29775939
Arkansas St.,11.58907965
Army West Point,0.042033092
Auburn,11.28968542
Austin Peay,-0.008396008
BYU,8.146789112
Ball St.,8.639193806
Baylor,1.969091201
Bellarmine,-13.57976501
Belmont,-0.3352651
Bethune-Cookman,-27.73106713
Binghamton,-6.42693238
Boise St.,6.31329712
Boston College,14.53304087
Bowie St.,-1.944636968
Bowling Green,-2.845634639
Bradley,-8.212304771
Brown,15.46938127
Bryant,-6.699832256
Bucknell,6.77869258
Buffalo,-3.32924615
Butler,18.02555478
CSU Bakersfield,-5.980281262
CSUN,-3.768283942
Cal Poly,13.93138791
Cal St. Fullerton,-15.1223881
California,18.91736348
California Baptist,6.172422027
Campbell,-2.28864352
Canisius,-1.377168213
Central Ark.,-13.63630466
Central Conn. St.,-29.92589974
Central Mich.,-3.34492143
Charleston So.,-11.56685053
Charlotte,4.195958107
Chattanooga,12.39592292
Chicago St.,9.672361204
Cincinnati,15.58450207
Clemson,3.091845582
Cleveland St.,10.77734666
Coastal Carolina,0.559721429
Col. of Charleston,4.543842203
Colgate,5.673424608
Colorado,0.058922921
Colorado St.,-7.210983133
Columbia,-10.3764488
Coppin St.,0.049378545
Cornell,8.654289073
Creighton,24.10329955
Dartmouth,-10.35809296
"Dartmouth Baltimore, Md.",-2.299538917
Davidson,13.45492821
Dayton,20.15399068
DePaul,23.18423012
Delaware,1.466396325
Delaware St.,-3.880155733
Denver,0.416053101
Drake,23.69793133
Duke,12.97082682
Duquesne,12.76671783
ETSU,-22.75870076
East Carolina,2.077685652
Eastern Ill.,6.472933447
Eastern Ky.,19.83180363
"Eastern Ky. Rock Hill, S.C.",2.875778331
Eastern Mich.,-0.075123134
Eastern Wash.,0.281332045
Elon,-7.179001056
Evansville,16.09048592
FDU,-3.394452903
FGCU,-2.597327152
FIU,-10.96441667
Fairfield,-1.911828464
Fla. Atlantic,16.15192089
Florida,8.796349678
Florida A&M,-16.21119421
Florida St.,12.27819126
Fordham,15.66759486
Fresno St.,3.840904492
