team,TotalZscore
A&M-Corpus Christi Islanders,-1.822583797
Abilene Christian Wildcats,-1.967404056
Air Force Falcons,0.985055119
Akron Zips,0.626156987
Alabama Crimson Tide,-1.074347895
Alabama A&M Bulldogs,-47.1991817
Alabama St. Lady Hornets,-29.24012551
Alcorn Lady Braves,-34.48995007
American Eagles,-0.91391194
App State Mountaineers,4.977792548
Arizona Wildcats,-7.228836127
Arizona St. Sun Devils,4.149296638
Ark.-Pine Bluff Lady Lions,-48.014966
Arkansas Razorbacks,17.29803702
Arkansas St. Red Wolves,13.14903331
Army West Point Black Knights,-0.532169777
Auburn Tigers,11.27239965
Austin Peay Governors,-0.281352635
BYU Cougars,8.087813506
Ball St. Cardinals,8.568371814
Baylor Bears,1.68003007
Bellarmine Knights,-13.76175031
Belmont Bruins,-0.573903381
Bethune-Cookman Wildcats,-27.89550686
Binghamton Bearcats,-7.498960864
Boise St. Broncos,6.231116584
Boston College Eagles,15.63156966
Bowling Green Falcons,-3.044740212
Bradley Braves,-8.314968657
Bryant Bulldogs,-4.342815676
Bucknell Bison,10.61939529
Buffalo Bulls,-3.342828586
Butler Bulldogs,18.04308103
CSU Bakersfield Roadrunners,-6.161633621
CSUN Matadors,-4.081831512
Cal Poly Mustangs,13.82923781
Cal St. Fullerton Titans,-15.2385285
California Golden Bears,18.85382238
California Baptist Lancers,6.016588238
Campbell Camels,-2.457845112
Canisius Golden Griffins,-1.700920291
Central Ark.  Sugar Bears,-13.80296929
Central Conn. St. Blue Devils,-30.07404282
Central Mich. Chippewas,-3.38842741
Charleston So. Buccaneers,-11.83747494
Charlotte 49ers,4.009701759
Chattanooga Mocs,12.226128
Chicago St. Cougars,9.572176338
Cincinnati Bearcats,15.51638442
Clemson Tigers,2.980471639
Cleveland St. Vikings,7.78260432
Coastal Carolina Chanticleers,0.430613009
Col. of Charleston Cougars,4.345584554
Colgate Raiders,9.016950142
Colorado Buffaloes,0.044267817
Colorado St. Rams,-7.275622082
Coppin St. Eagles,0.401263672
Creighton Bluejays,23.56717637
Davidson Wildcats,13.36357656
Dayton Flyers,19.97496284
DePaul Blue Demons,23.13928476
Delaware Blue Hens,1.168451322
Delaware St. Hornets,-5.471186256
Denver Pioneers,0.317554638
Drake Bulldogs,23.67879405
Duke Blue Devils,13.04060323
Duquesne Dukes,12.6431042
ETSU Buccaneers (Bucs),-22.92300619
East Carolina Pirates,1.891460641
Eastern Ill. Panthers,6.427013761
Eastern Ky. Colonels,22.52451737
Eastern Mich. Eagles,-0.253174861
Eastern Wash. Eagles,0.1178607
Elon Phoenix,-7.601151619
Evansville Purple Aces,16.00323533
FDU Knights,-5.041310348
FGCU Eagles,-2.811298632
FIU Panthers,-11.17410915
Fairfield Stags,-1.979292646
Fla. Atlantic Owls,16.01510409
Florida Gators,8.663630848
Florida A&M Lady Rattlers,-16.31586111
Florida St. Seminoles,12.16381706
Fordham Rams,13.26950744
Fresno St. Bulldogs,3.787645156
Furman Paladins,6.496000454
Ga. Southern Eagles,6.781227603
Gardner-Webb Runnin' Bulldogs,-9.425485074
